Interval,Lat_M,Lon_M
1,58.33362584,-2.66627539
1,58.33362584,-2.66627539
1,58.33362584,-2.66627539
1,58.33362584,-2.66627539
1,58.33362584,-2.66627539
1,58.33362584,-2.66627539
2,58.33366167,-2.64920186
2,58.33366167,-2.64920186
2,58.33366167,-2.64920186
2,58.33366167,-2.64920186
2,58.33366167,-2.64920186
2,58.33366167,-2.64920186
3,58.33383333,-2.61736621
3,58.33383333,-2.61736621
3,58.33383333,-2.61736621
3,58.33383333,-2.61736621
3,58.33383333,-2.61736621
3,58.33383333,-2.61736621
4,58.33384582,-2.58554392
4,58.33384582,-2.58554392
4,58.33384582,-2.58554392
4,58.33384582,-2.58554392
4,58.33384582,-2.58554392
4,58.33384582,-2.58554392
5,58.33388988,-2.5536446
5,58.33388988,-2.5536446
5,58.33388988,-2.5536446
5,58.33388988,-2.5536446
5,58.33388988,-2.5536446
6,58.33353167,-2.52201997
6,58.33353167,-2.52201997
6,58.33353167,-2.52201997
6,58.33353167,-2.52201997
6,58.33353167,-2.52201997
6,58.33353167,-2.52201997
7,58.33577293,-2.49121582
7,58.33577293,-2.49121582
7,58.33577293,-2.49121582
7,58.33577293,-2.49121582
7,58.33577293,-2.49121582
7,58.33577293,-2.49121582
8,58.33733333,-2.4687545
8,58.33733333,-2.4687545
8,58.33733333,-2.4687545
8,58.33733333,-2.4687545
8,58.33733333,-2.4687545
8,58.33733333,-2.4687545
9,58.33537144,-2.4374372
9,58.33537144,-2.4374372
9,58.33537144,-2.4374372
9,58.33537144,-2.4374372
9,58.33537144,-2.4374372
9,58.33537144,-2.4374372
10,58.33514876,-2.40564787
10,58.33514876,-2.40564787
10,58.33514876,-2.40564787
10,58.33514876,-2.40564787
10,58.33514876,-2.40564787
10,58.33514876,-2.40564787
10,58.33514876,-2.40564787
11,58.33483333,-2.37390401
11,58.33483333,-2.37390401
11,58.33483333,-2.37390401
11,58.33483333,-2.37390401
11,58.33483333,-2.37390401
11,58.33483333,-2.37390401
11,58.33483333,-2.37390401
12,58.33444161,-2.34212056
12,58.33444161,-2.34212056
12,58.33444161,-2.34212056
12,58.33444161,-2.34212056
12,58.33444161,-2.34212056
12,58.33444161,-2.34212056
13,58.33444238,-2.3103691
13,58.33444238,-2.3103691
13,58.33444238,-2.3103691
13,58.33444238,-2.3103691
13,58.33444238,-2.3103691
13,58.33444238,-2.3103691
13,58.33444238,-2.3103691
14,58.33431167,-2.27847339
14,58.33431167,-2.27847339
14,58.33431167,-2.27847339
14,58.33431167,-2.27847339
14,58.33431167,-2.27847339
14,58.33431167,-2.27847339
14,58.33431167,-2.27847339
15,58.33426667,-2.24678747
15,58.33426667,-2.24678747
15,58.33426667,-2.24678747
15,58.33426667,-2.24678747
15,58.33426667,-2.24678747
15,58.33426667,-2.24678747
15,58.33426667,-2.24678747
16,58.33416667,-2.2150322
16,58.33416667,-2.2150322
16,58.33416667,-2.2150322
16,58.33416667,-2.2150322
16,58.33416667,-2.2150322
16,58.33416667,-2.2150322
16,58.33416667,-2.2150322
17,58.33420811,-2.18316331
17,58.33420811,-2.18316331
17,58.33420811,-2.18316331
17,58.33420811,-2.18316331
17,58.33420811,-2.18316331
17,58.33420811,-2.18316331
17,58.33420811,-2.18316331
17,58.33420811,-2.18316331
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
18,58.334105,-2.15129694
